No.,Time,Source,Destination,Protocol,Length,Ping,seq,ttl
1045,1205.969712,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,143/36608,128 (reply in 1046)
1046,1205.971816,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,143/36608,128 (request in 1045)
1049,1206.985330,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,144/36864,128 (reply in 1050)
1050,1206.987429,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,144/36864,128 (request in 1049)
1051,1208.000952,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,145/37120,128 (reply in 1052)
1052,1208.003061,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,145/37120,128 (request in 1051)
1056,1209.016578,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,146/37376,128 (reply in 1057)
1057,1209.018743,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,146/37376,128 (request in 1056)
1059,1210.032187,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,147/37632,128 (reply in 1060)
1060,1210.034285,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,147/37632,128 (request in 1059)
1063,1211.047879,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,148/37888,128 (reply in 1064)
1064,1211.050015,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,148/37888,128 (request in 1063)
1066,1212.063461,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,149/38144,128 (reply in 1067)
1067,1212.065546,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,149/38144,128 (request in 1066)
1068,1213.079091,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,150/38400,128 (reply in 1069)
1069,1213.081190,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,150/38400,128 (request in 1068)
1071,1214.094781,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,151/38656,128 (reply in 1072)
1072,1214.096881,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,151/38656,128 (request in 1071)
1073,1215.110397,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,152/38912,128 (reply in 1074)
1074,1215.112536,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,152/38912,128 (request in 1073)
1076,1216.126024,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,153/39168,128 (reply in 1077)
1077,1216.128122,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,153/39168,128 (request in 1076)
1079,1217.141656,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,154/39424,128 (reply in 1080)
1080,1217.143760,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,154/39424,128 (request in 1079)
1082,1218.157287,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,155/39680,128 (reply in 1083)
1083,1218.159384,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,155/39680,128 (request in 1082)
1084,1219.172898,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,156/39936,128 (reply in 1085)
1085,1219.174999,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,156/39936,128 (request in 1084)
1087,1220.188531,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,157/40192,128 (reply in 1088)
1088,1220.190631,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,157/40192,128 (request in 1087)
1089,1221.204210,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,158/40448,128 (reply in 1090)
1090,1221.206310,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,158/40448,128 (request in 1089)
1092,1222.219839,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,159/40704,128 (reply in 1093)
1093,1222.221938,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,159/40704,128 (request in 1092)
1094,1223.235480,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,160/40960,128 (reply in 1095)
1095,1223.237587,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,160/40960,128 (request in 1094)
1097,1224.251072,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,161/41216,128 (reply in 1098)
1098,1224.253179,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,161/41216,128 (request in 1097)
1099,1225.266741,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,162/41472,128 (reply in 1100)
1100,1225.268903,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,162/41472,128 (request in 1099)
1103,1226.282380,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,163/41728,128 (reply in 1104)
1104,1226.284489,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,163/41728,128 (request in 1103)
1106,1227.298011,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,164/41984,128 (reply in 1107)
1107,1227.300119,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,164/41984,128 (request in 1106)
1109,1228.313646,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,165/42240,128 (reply in 1110)
1110,1228.315726,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,165/42240,128 (request in 1109)
1111,1229.329260,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,166/42496,128 (reply in 1112)
1112,1229.331339,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,166/42496,128 (request in 1111)
1114,1230.344920,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,167/42752,128 (reply in 1115)
1115,1230.347070,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,167/42752,128 (request in 1114)
1116,1231.360512,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,168/43008,128 (reply in 1117)
1117,1231.362633,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,168/43008,128 (request in 1116)
1120,1232.376146,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,169/43264,128 (reply in 1121)
1121,1232.378246,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,169/43264,128 (request in 1120)
1122,1233.391779,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,170/43520,128 (reply in 1123)
1123,1233.393881,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,170/43520,128 (request in 1122)
1126,1234.407436,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,171/43776,128 (reply in 1127)
1127,1234.409641,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,171/43776,128 (request in 1126)
1129,1235.423141,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,172/44032,128 (reply in 1130)
1130,1235.424982,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,172/44032,128 (request in 1129)
1132,1236.438683,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,173/44288,128 (reply in 1133)
1133,1236.440785,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,173/44288,128 (request in 1132)
1136,1237.454338,192.168.100.1,192.168.100.2,ICMP,842,Echo (ping) request,174/44544,128 (reply in 1137)
1137,1237.456478,192.168.100.2,192.168.100.1,ICMP,842,Echo (ping) reply,174/44544,128 (request in 1136)
1164,1260.425853,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,175/44800,128 (reply in 1165)
1165,1260.428238,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,175/44800,126 (request in 1164)
1166,1261.438946,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,176/45056,128 (reply in 1167)
1167,1261.441409,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,176/45056,126 (request in 1166)
1169,1262.454581,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,177/45312,128 (reply in 1170)
1170,1262.456880,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,177/45312,126 (request in 1169)
1171,1263.470224,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,178/45568,128 (reply in 1172)
1172,1263.472535,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,178/45568,126 (request in 1171)
1174,1264.485841,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,179/45824,128 (reply in 1175)
1175,1264.488317,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,179/45824,126 (request in 1174)
1178,1265.501494,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,180/46080,128 (reply in 1179)
1179,1265.503918,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,180/46080,126 (request in 1178)
1181,1266.517126,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,181/46336,128 (reply in 1182)
1182,1266.519439,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,181/46336,126 (request in 1181)
1184,1267.532756,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,182/46592,128 (reply in 1185)
1185,1267.534993,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,182/46592,126 (request in 1184)
1187,1268.548408,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,183/46848,128 (reply in 1188)
1188,1268.550826,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,183/46848,126 (request in 1187)
1189,1269.564003,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,184/47104,128 (reply in 1190)
1190,1269.566368,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,184/47104,126 (request in 1189)
1192,1270.579640,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,185/47360,128 (reply in 1193)
1193,1270.582060,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,185/47360,126 (request in 1192)
1196,1271.595300,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,186/47616,128 (reply in 1197)
1197,1271.597586,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,186/47616,126 (request in 1196)
1199,1272.610940,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,187/47872,128 (reply in 1200)
1200,1272.613184,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,187/47872,126 (request in 1199)
1201,1273.626542,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,188/48128,128 (reply in 1202)
1202,1273.628857,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,188/48128,126 (request in 1201)
1204,1274.642232,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,189/48384,128 (reply in 1205)
1205,1274.644505,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,189/48384,126 (request in 1204)
1206,1275.657824,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,190/48640,128 (reply in 1207)
1207,1275.660145,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,190/48640,126 (request in 1206)
1209,1276.673460,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,191/48896,128 (reply in 1210)
1210,1276.675659,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,191/48896,126 (request in 1209)
1212,1277.689095,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,192/49152,128 (reply in 1213)
1213,1277.691372,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,192/49152,126 (request in 1212)
1215,1278.704706,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,193/49408,128 (reply in 1216)
1216,1278.707069,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,193/49408,126 (request in 1215)
1217,1279.720369,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,194/49664,128 (reply in 1218)
1218,1279.722760,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,194/49664,126 (request in 1217)
1220,1280.735977,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,195/49920,128 (reply in 1221)
1221,1280.738303,192.168.200.2,192.168.100.1,ICMP,122,Echo (ping) reply,195/49920,126 (request in 1220)
1222,1281.751636,192.168.100.1,192.168.200.2,ICMP,122,Echo (ping) request,196/50176,128 (reply in 1223)
